"year","county","municip_number","municip","aqua_prod","total_catch","sea_area","wageco","population","popgrowth","unemployed"
2009,"Troms",1919,"Gratangen",1793.281285,0,61.93,2.4,1151,-11,NA
2009,"Troms",1920,"Lavangen",4741.607029,0,22.93,2.2,1023,-5,NA
2009,"Troms",1923,"Salangen",1793.101526,0.07212,63.61,2.3,2203,-13,37
2009,"Troms",1926,"Dyroy",2840.230898,0,181.21,2.2,1216,1,22
2009,"Troms",1927,"Tranoy",12122.017254,0,414.56,2.4,1537,-10,17
2009,"Troms",1928,"Torsken",6134.179778,3.2696486,832.68,2.5,916,-8,26
2009,"Troms",1929,"Berg",NA,20.0348268,836.66,2.4,942,-13,9
2009,"Troms",1931,"Lenvik",5635.392601,1.9823499,702.95,2.3,11207,51,115
2009,"Troms",1936,"Karlsoy",5344.853414,5.2184267,4796.75,2.4,2383,-30,107
2009,"Troms",1938,"Lyngen",4408.87163,0.3707103,487.07,2.3,3166,-10,67
2009,"Troms",1940,"Kafjord",3618.065942,0.1503542,124.17,2.2,2236,2,62
2009,"Troms",1941,"Skjervoy",5531.440637,5.6134281,1088,2.3,2897,-23,58
2009,"Troms",1942,"Nordreisa",4733.75985,0.3579092,243.72,2.3,4694,12,84
2009,"Troms",1943,"Kvaenangen",7863.02066,0.1914851,573.01,2.4,1330,-12,NA
2009,"Nordland",1804,"Bodo",609.383949,38.6327339,3431.45,2.4,46495,143,631
2009,"Nordland",1811,"Bindal",6646.897066,0.1560433,641.29,2.2,1616,-13,22
2009,"Nordland",1812,"Somna",8559.734405,0.000404,594.84,2.2,2054,8,26
2009,"Nordland",1813,"Bronnoy",4879.926137,0.4666478,1052.81,2.3,7597,-3,104
2009,"Nordland",1815,"Vega",734.096966,0.0001106,2756.44,2.3,1288,-9,18
2009,"Nordland",1816,"Vevelstad",5003.510452,0,122.2,2.4,501,0,10
2009,"Nordland",1818,"Heroy",4873.714413,0.430479,2197.73,2.5,1652,-17,37
2009,"Nordland",1820,"Alstahaug",7264.618221,0.0013219,397.61,2.2,7208,-5,100
2009,"Nordland",1824,"Vefsn",1397.985876,0.0003618,101.49,2.2,13342,-3,267
2009,"Nordland",1827,"Donna",6575.844095,0.6366579,567.37,2.4,1432,-3,22
2009,"Nordland",1828,"Nesna",1477.549241,0.0029086,219.63,2.6,1786,32,21
2009,"Nordland",1833,"Rana",3252.876185,0.0014275,128.29,2.1,25281,30,434
2009,"Nordland",1834,"Luroy",13931.695636,0.2977917,1072.51,2.4,1883,-17,25
2009,"Nordland",1835,"Traena",1533.22645,31.8810982,1777.3,2.4,455,25,NA
2009,"Nordland",1836,"Rodoy",9294.252654,1.3714915,2391.77,2.2,1292,-6,17
2009,"Nordland",1837,"Meloy",11903.828737,0.6258358,1872.46,2.4,6641,-16,54
2009,"Nordland",1838,"Gildeskal",9525.214062,0.1726542,837.6,2.3,2053,-16,14
2009,"Nordland",1840,"Saltdal",1289.564016,0,29.77,2.2,4727,16,75
2009,"Nordland",1841,"Fauske",2932.498484,0.0037459,84.29,2.2,9477,30,176
2009,"Nordland",1845,"Sorfold",11852.392797,0.1978965,192.04,2.3,2021,-11,40
2009,"Nordland",1848,"Steigen",13456.731718,0.9446255,2475.41,2.5,2665,0,35
2009,"Nordland",1849,"Hamaroy",1774.644827,0.0006,528.96,2.4,1754,-9,33
2009,"Nordland",1850,"Tysfjord",3777.026916,0.0675388,465.3,2.2,2046,-4,38
2009,"Nordland",1851,"Lodingen",7592.712534,14.7787302,516.46,2.3,2242,3,46
2009,"Nordland",1854,"Ballangen",1194.383435,0,260.93,2.3,2623,-16,54
2009,"Nordland",1859,"Flakstad",2179.651487,5.4684115,994.01,2.3,1419,-12,32
2009,"Nordland",1860,"Vestvagoy",760.97279,8.1420524,1685.01,2.3,10706,5,233
2009,"Nordland",1865,"Vagan",7095.04118,26.0014232,1608.35,2.3,8976,36,182
2009,"Nordland",1866,"Hadsel",11325.692836,1.6326675,617.87,2.4,7950,12,170
2009,"Nordland",1867,"Bo",6552.569687,10.7059163,1579.07,2.4,2838,-32,54
2009,"Nordland",1868,"Oksnes",10643.830627,11.9537547,1495.68,2.4,4418,18,66
2009,"Nordland",1870,"Sortland",4119.791739,1.916543,371.13,2.3,9732,73,190
2010,"Finnmark",2004,"Hammerfest",9546.299395,12.632712,2379.58,2.4,9724,50,176
2010,"Finnmark",2012,"Alta",20675.674761,0.5570957,708.22,2.3,18680,82,368
2010,"Finnmark",2014,"Loppa",6850.179179,5.8212507,2119.69,2.3,1087,-4,29
2010,"Finnmark",2017,"Kvalsund",2673.101881,0.0205491,299.43,2.4,1026,-7,33
2010,"Finnmark",2019,"Nordkapp",1461.757275,17.7167457,3172.78,2.5,3185,24,91
2010,"Finnmark",2022,"Lebesby",1610.053708,4.0109313,2269.84,2.4,1342,2,41
2010,"Finnmark",2027,"Nesseby",3985.609311,0.5477792,200.5,2.4,884,-1,16
2010,"Finnmark",2030,"Sor-Varanger",5071.579322,0.4830486,1135.7,2.3,9738,11,151
2010,"Troms",1902,"Tromso",9373.314868,33.426828,2767.33,2.5,67305,364,1124
2010,"Troms",1903,"Harstad",10811.49085,0.6698562,1075.25,NA,0,0,NA
2010,"Troms",1911,"Kvaefjord",6372.64936,0.1888255,189.03,2.4,3049,-26,44
2010,"Troms",1913,"Skanland",5225.820095,0.0019366,85.75,2.4,2855,18,37
2010,"Troms",1917,"Ibestad",6643.258661,0.0011045,351.66,2.4,1408,2,26
2010,"Troms",1919,"Gratangen",2733.41489,0.0002355,61.93,2.3,1150,-11,5
2010,"Troms",1920,"Lavangen",1203.268548,0,22.93,2.1,1012,3,19
2010,"Troms",1923,"Salangen",1258.604174,0.000196,63.61,2.3,2211,-15,36
2010,"Troms",1926,"Dyroy",5251.75597,0,181.21,2.3,1233,-4,31
2010,"Troms",1927,"Tranoy",9026.733845,0,414.56,2.4,1552,-11,18
2010,"Troms",1928,"Torsken",7792.125061,6.5365415,832.68,2.4,899,4,10
2010,"Troms",1929,"Berg",2700.334356,17.8062742,836.66,2.5,926,-11,13
2010,"Troms",1931,"Lenvik",3353.152369,2.5578342,702.95,2.3,11243,-16,122
2010,"Troms",1936,"Karlsoy",9854.264045,7.9941201,4796.75,2.4,2371,2,42
2010,"Troms",1938,"Lyngen",983.4031,0.7817399,487.07,2.4,3152,-9,62
2010,"Troms",1941,"Skjervoy",10052.11011,5.8905637,1088,2.3,2881,-1,71
2010,"Troms",1942,"Nordreisa",5174.152149,0.4573007,243.72,2.3,4757,-7,78
2010,"Troms",1943,"Kvaenangen",10452.623385,0.2076971,573.01,2.4,1316,-4,NA
2010,"Nordland",1804,"Bodo",1829.795058,19.5448934,3431.45,2.3,47282,125,614
2010,"Nordland",1811,"Bindal",6671.625013,0.1622559,641.29,2.2,1601,-7,18
2010,"Nordland",1812,"Somna",5413.048378,0.000045,594.84,2.3,2041,-3,27
2010,"Nordland",1813,"Bronnoy",3770.497024,0.3930403,1052.81,2.3,7660,19,108
2010,"Nordland",1815,"Vega",2731.278359,0,2756.44,2.3,1288,-7,20
2010,"Nordland",1816,"Vevelstad",3506.781307,0,122.2,2.5,510,2,7
2010,"Nordland",1818,"Heroy",5694.954001,0.4953045,2197.73,2.6,1618,14,22
2010,"Nordland",1820,"Alstahaug",7083.720189,0.9597135,397.61,2.3,7196,7,122
2010,"Nordland",1824,"Vefsn",2713.372999,0,101.49,2.2,13388,-53,194
2010,"Nordland",1827,"Donna",1944.102914,0.8838741,567.37,2.4,1431,-1,22
2010,"Nordland",1828,"Nesna",637.865923,0.0096291,219.63,2.6,1786,13,27
2010,"Nordland",1833,"Rana",877.819393,0.003818,128.29,2.1,25282,25,493
2010,"Nordland",1834,"Luroy",7038.717023,0.4076637,1072.51,2.4,1900,1,40
2010,"Nordland",1835,"Traena",1777.151217,30.2108658,1777.3,2.5,489,9,6
2010,"Nordland",1836,"Rodoy",13690.756371,1.3727822,2391.77,2.2,1281,7,18
2010,"Nordland",1837,"Meloy",9970.585808,0.9007322,1872.46,2.4,6639,10,72
2010,"Nordland",1838,"Gildeskal",5999.908777,0.1341176,837.6,2.3,1996,0,27
2010,"Nordland",1840,"Saltdal",2988.451104,0,29.77,2.2,4692,-28,82
2010,"Nordland",1841,"Fauske",NA,0.0636817,84.29,2.2,9552,15,177
2010,"Nordland",1845,"Sorfold",11346.99528,0.2688032,192.04,2.2,1984,16,37
2010,"Nordland",1848,"Steigen",13642.69804,0.8453156,2475.41,2.6,2619,7,46
2010,"Nordland",1849,"Hamaroy",5084.572402,0.0019124,528.96,2.4,1752,1,26
2010,"Nordland",1850,"Tysfjord",2010.012844,0.1965494,465.3,2.3,2007,-10,57
2010,"Nordland",1851,"Lodingen",5648.846404,16.724122,516.46,2.4,2181,1,40
2010,"Nordland",1854,"Ballangen",1642.739596,0.0036089,260.93,2.3,2616,-12,31
2010,"Nordland",1859,"Flakstad",3126.739442,6.4569623,994.01,2.3,1369,-2,35
2010,"Nordland",1860,"Vestvagoy",NA,7.7556235,1685.01,2.3,10674,34,182
2010,"Nordland",1865,"Vagan",14749.819321,27.5416018,1608.35,2.3,9023,5,197
2010,"Nordland",1866,"Hadsel",6293.965056,0.7887272,617.87,2.3,7981,-2,136
2010,"Nordland",1867,"Bo",6814.383985,8.7440623,1579.07,2.4,2789,-13,61
2010,"Nordland",1868,"Oksnes",9399.452988,16.3739894,1495.68,2.5,4438,2,101
2010,"Nordland",1870,"Sortland",2313.204108,1.6284196,371.13,2.4,9819,-2,193
2011,"Finnmark",2004,"Hammerfest",17770.586082,9.8316257,2379.58,2.5,9912,14,168
2011,"Finnmark",2012,"Alta",15482.248776,0.1463911,708.22,2.3,19071,32,326
2011,"Finnmark",2014,"Loppa",11108.665273,2.6957956,2119.69,2.4,1078,-3,21
2011,"Finnmark",2017,"Kvalsund",6160.72919,0,299.43,2.4,998,-9,17
2011,"Finnmark",2019,"Nordkapp",1570.71983,20.6702623,3172.78,2.5,3224,-6,102
2011,"Finnmark",2022,"Lebesby",3457.654572,4.6725153,2269.84,2.5,1336,10,30
2011,"Finnmark",2027,"Nesseby",3830.330977,0.5628267,200.5,2.4,893,7,NA
2011,"Finnmark",2030,"Sor-Varanger",6712.890034,0.65205,1135.7,2.3,9826,-9,92
2011,"Troms",1902,"Tromso",7492.644903,60.1877659,2767.33,2.5,68239,388,1001
2011,"Troms",1903,"Harstad",11338.141249,1.0471131,1075.25,NA,0,0,NA
2011,"Troms",1911,"Kvaefjord",5098.656142,0.1865654,189.03,2.4,3050,-32,34
2011,"Troms",1913,"Skanland",1491.20518,0.0006385,85.75,2.5,2896,28,39
2011,"Troms",1917,"Ibestad",10066.139798,0.0019454,351.66,2.4,1419,-3,17
2011,"Troms",1920,"Lavangen",3178.592511,0.000165,22.93,2.2,1003,7,12
