"year","county","municip_number","municip","aqua_prod","total_catch","sea_area","population","popgrowth","unemployed","percent_wforce","distance","distance_rank","aqua_prod_ton","total_catch_ton","totobs"
2008,"Troms",1917,"Ibestad",5876019.479,0.0888,351.66,1511,-25,14,63,1875.689,45,5876.019479,0.0888,14
2008,"Troms",1919,"Gratangen",NA,0,61.93,1168,-6,10,61.7,1883.657,46,NA,0,12
2008,"Troms",1920,"Lavangen",NA,0,22.93,1010,-10,16,63.5,1896.465,49,NA,0,14
2008,"Troms",1926,"Dyroy",8804848.441,0,181.21,1232,-7,17,63.6,1900.833,50,8804.848441,0,14
2008,"Troms",1927,"Tranoy",2656092.8,264,414.56,1579,-8,12,65.2,1894.122,48,2656.0928,264,14
2008,"Troms",1928,"Torsken",6008723.042,4245.573,832.68,937,1,9,65.9,1890.295,47,6008.723042,4245.573,14
2008,"Troms",1929,"Berg",890284.611,10635.1263,836.66,937,3,NA,72.6,1910.705,52,890.284611,10635.1263,14
2008,"Troms",1931,"Lenvik",4917267.416,2378.7803,702.95,11160,13,118,68,1925.114,54,4917.267416,2378.7803,14
2008,"Troms",1936,"Karlsoy",6493569.33,6251.2943,4796.75,2404,-14,31,64.6,2036.172,59,6493.56933,6251.2943,14
2008,"Troms",1938,"Lyngen",1079817.764,270.6474,487.07,3208,7,42,68.3,2039.693,60,1079.817764,270.6474,14
2008,"Troms",1940,"Kafjord",1544602.792,266.3479,124.17,2248,-2,48,64.7,2051.994,61,1544.602792,266.3479,13
2008,"Troms",1941,"Skjervoy",8089434.994,7918.7631,1088,2934,-5,41,68,2077.385,62,8089.434994,7918.7631,14
2008,"Troms",1942,"Nordreisa",5257632.932,421.9466,243.72,4665,-28,81,70.1,2083.479,63,5257.632932,421.9466,14
2008,"Troms",1943,"Kvaenangen",6895224.282,1233.6416,573.01,1348,-7,24,66.1,2110.984,64,6895.224282,1233.6416,14
2008,"Nordland",1804,"Bodo",NA,21742.5818,3431.45,46049,52,476,73.7,1625.878,22,NA,21742.5818,14
2008,"Nordland",1811,"Bindal",5764486.362,165.8851,641.29,1631,-16,13,65.9,1333.778,1,5764.486362,165.8851,14
2008,"Nordland",1812,"Somna",4373318.752,0,594.84,2056,7,14,69.4,1341.503,2,4373.318752,0,13
2008,"Nordland",1813,"Bronnoy",4582721.223,611.2425,1052.81,7535,-30,77,69.6,1359.248,3,4582.721223,611.2425,14
2008,"Nordland",1815,"Vega",3769231.935,150.5073,2756.44,1295,-1,10,67.8,1375.174,4,3769.231935,150.5073,14
2008,"Nordland",1816,"Vevelstad",4489494.592,0,122.2,485,-3,6,71,1379.621,5,4489.494592,0,14
2008,"Nordland",1818,"Heroy",5645228.577,812.1251,2197.73,1683,-10,25,65.7,1418.72,8,5645.228577,812.1251,14
2008,"Nordland",1820,"Alstahaug",6636540.398,0.7346,397.61,7207,19,95,68.3,1400.557,6,6636.540398,0.7346,14
2008,"Nordland",1824,"Vefsn",2453842.922,0.6754,101.49,13424,-80,172,69,1409.307,7,2453.842922,0.6754,14
2008,"Nordland",1827,"Donna",2325667.909,438.1183,567.37,1463,-11,20,68.5,1438.247,9,2325.667909,438.1183,14
2008,"Nordland",1828,"Nesna",1088970.686,6.6948,219.63,1792,0,26,66,1455.901,12,1088.970686,6.6948,14
2008,"Nordland",1833,"Rana",178397.587,4.5842,128.29,25092,86,211,68.5,1502.259,15,178.397587,4.5842,14
2008,"Nordland",1834,"Luroy",8884879.639,521.942,1072.51,1899,-3,19,69.8,1467.93,13,8884.879639,521.942,14
2008,"Nordland",1835,"Traena",1607253.42,16082.3172,1777.3,451,-2,NA,70.6,1468.945,14,1607.25342,16082.3172,14
2008,"Nordland",1836,"Rodoy",12483918.794,1121.4246,2391.77,1314,12,17,72.5,1502.26,16,12483.918794,1121.4246,14
2008,"Nordland",1837,"Meloy",5813248.01,616.9938,1872.46,6622,-20,65,72,1505.621,18,5813.24801,616.9938,14
2008,"Nordland",1838,"Gildeskal",11005075.767,140.8185,837.6,2046,-6,18,67.6,1509.91,19,11005.075767,140.8185,14
2008,"Nordland",1840,"Saltdal",2470413.146,0,29.77,4710,3,71,68.7,1502.261,17,2470.413146,0,14
2008,"Nordland",1841,"Fauske",1347640.259,107.2359,84.29,9480,-28,168,68.1,1625.878,22,1347.640259,107.2359,14
2008,"Nordland",1845,"Sorfold",8074679.156,214.762,192.04,2000,1,26,63.7,1711.852,28,8074.679156,214.762,14
2008,"Nordland",1848,"Steigen",13326947.78,573.7434,2475.41,2672,3,49,67.1,1711.846,27,13326.94778,573.7434,14
2008,"Nordland",1849,"Hamaroy",1092795.396,0,528.96,1761,-21,24,64.9,1724.582,30,1092.795396,0,14
2008,"Nordland",1850,"Tysfjord",3970701.215,43.9423,465.3,2028,4,39,62.3,1743.794,31,3970.701215,43.9423,14
2008,"Nordland",1851,"Lodingen",7762090.932,12569.0773,516.46,2279,-17,37,66.2,1754.722,33,7762.090932,12569.0773,14
2008,"Nordland",1854,"Ballangen",1085368.37,0.6976,260.93,2652,-10,50,60.7,1791.624,35,1085.36837,0.6976,14
2008,"Nordland",1859,"Flakstad",3576268.433,5639.6612,994.01,1441,-11,28,68.7,1680.052,25,3576.268433,5639.6612,13
2008,"Nordland",1860,"Vestvagoy",NA,7755.2085,1685.01,10710,27,164,68.9,1703.182,26,NA,7755.2085,14
2008,"Nordland",1865,"Vagan",12805862.315,16331.3081,1608.35,8933,-15,165,69,1720.912,29,12805.862315,16331.3081,14
2008,"Nordland",1866,"Hadsel",3482179.297,412.6977,617.87,7970,2,119,66.3,1753.946,32,3482.179297,412.6977,14
2008,"Nordland",1867,"Bo",7146734.807,8724.1778,1579.07,2867,-37,48,62.3,1760.852,34,7146.734807,8724.1778,14
2008,"Nordland",1868,"Oksnes",9161304.314,12306.8868,1495.68,4424,-8,44,67.5,1803.767,38,9161.304314,12306.8868,14
2008,"Nordland",1870,"Sortland",2058748.084,1890.8294,371.13,9678,39,119,71.3,1796.622,36,2058.748084,1890.8294,14
2009,"Finnmark",2004,"Hammerfest",10763139.511,9426.2186,2379.58,9493,54,170,73.2,2187.8,68,10763.139511,9426.2186,14
2009,"Finnmark",2012,"Alta",13786671.476,322.5193,708.22,18488,109,366,69.7,2142.243,66,13786.671476,322.5193,14
2009,"Finnmark",2014,"Loppa",11307124.156,717.0877,2119.69,1087,-12,14,63.8,2114.266,65,11307.124156,717.0877,14
2009,"Finnmark",2017,"Kvalsund",1263144.293,0,299.43,1044,-11,21,61.8,2196.698,69,1263.144293,0,14
2009,"Finnmark",2019,"Nordkapp",4577883.025,17605.9518,3172.78,3180,1,107,67.1,2302.882,72,4577.883025,17605.9518,14
2009,"Finnmark",2022,"Lebesby",252806.863,3476.1966,2269.84,1332,-13,40,64.7,2339.808,73,252.806863,3476.1966,11
2009,"Finnmark",2027,"Nesseby",5735302.79,401.967,200.5,878,-4,16,64.5,2452.245,77,5735.30279,401.967,14
2009,"Finnmark",2030,"Sor-Varanger",4879929.02,658.5564,1135.7,9623,22,110,70.7,2587.5,81,4879.92902,658.5564,14
2009,"Troms",1902,"Tromso",7928228.574,37167.7924,2767.33,66513,259,1001,72,1963.832,58,7928.228574,37167.7924,14
2009,"Troms",1903,"Harstad",8966895.83,733.9635,1075.25,0,0,NA,0,1850.033,44,8966.89583,733.9635,14
2009,"Troms",1911,"Kvaefjord",11881415.777,151.2761,189.03,3032,-9,35,65.1,1806.774,39,11881.415777,151.2761,14
2009,"Troms",1913,"Skanland",2024367.85,1.4958,85.75,2841,8,42,65.7,1844.254,41,2024.36785,1.4958,14
2009,"Troms",1917,"Ibestad",5547939.884,3.0073,351.66,1440,-24,20,61.4,1875.689,45,5547.939884,3.0073,14
2009,"Troms",1919,"Gratangen",1793281.285,0,61.93,1151,-11,NA,60.5,1883.657,46,1793.281285,0,12
2009,"Troms",1920,"Lavangen",4741607.029,0,22.93,1023,-5,NA,61.9,1896.465,49,4741.607029,0,14
2009,"Troms",1923,"Salangen",1793101.526,72.12,63.61,2203,-13,37,64.3,1900.846,51,1793.101526,72.12,13
2009,"Troms",1926,"Dyroy",2840230.898,0,181.21,1216,1,22,60.3,1900.833,50,2840.230898,0,14
2009,"Troms",1927,"Tranoy",12122017.254,0,414.56,1537,-10,17,63.6,1894.122,48,12122.017254,0,14
2009,"Troms",1928,"Torsken",6134179.778,3269.6486,832.68,916,-8,26,65.4,1890.295,47,6134.179778,3269.6486,14
2009,"Troms",1929,"Berg",NA,20034.8268,836.66,942,-13,9,71.1,1910.705,52,NA,20034.8268,14
2009,"Troms",1931,"Lenvik",5635392.601,1982.3499,702.95,11207,51,115,67.2,1925.114,54,5635.392601,1982.3499,14
2009,"Troms",1936,"Karlsoy",5344853.414,5218.4267,4796.75,2383,-30,107,65.7,2036.172,59,5344.853414,5218.4267,14
2009,"Troms",1938,"Lyngen",4408871.63,370.7103,487.07,3166,-10,67,67.3,2039.693,60,4408.87163,370.7103,14
2009,"Troms",1940,"Kafjord",3618065.942,150.3542,124.17,2236,2,62,64.2,2051.994,61,3618.065942,150.3542,13
2009,"Troms",1941,"Skjervoy",5531440.637,5613.4281,1088,2897,-23,58,65.3,2077.385,62,5531.440637,5613.4281,14
2009,"Troms",1942,"Nordreisa",4733759.85,357.9092,243.72,4694,12,84,67.7,2083.479,63,4733.75985,357.9092,14
2009,"Troms",1943,"Kvaenangen",7863020.66,191.4851,573.01,1330,-12,NA,64.3,2110.984,64,7863.02066,191.4851,14
2009,"Nordland",1804,"Bodo",609383.949,38632.7339,3431.45,46495,143,631,71.7,1625.878,22,609.383949,38632.7339,14
2009,"Nordland",1811,"Bindal",6646897.066,156.0433,641.29,1616,-13,22,62.8,1333.778,1,6646.897066,156.0433,14
2009,"Nordland",1812,"Somna",8559734.405,0.404,594.84,2054,8,26,68.5,1341.503,2,8559.734405,0.404,13
2009,"Nordland",1813,"Bronnoy",4879926.137,466.6478,1052.81,7597,-3,104,68.2,1359.248,3,4879.926137,466.6478,14
2009,"Nordland",1815,"Vega",734096.966,0.1106,2756.44,1288,-9,18,67.9,1375.174,4,734.096966,0.1106,14
2009,"Nordland",1816,"Vevelstad",5003510.452,0,122.2,501,0,10,65.4,1379.621,5,5003.510452,0,14
2009,"Nordland",1818,"Heroy",4873714.413,430.479,2197.73,1652,-17,37,65.1,1418.72,8,4873.714413,430.479,14
2009,"Nordland",1820,"Alstahaug",7264618.221,1.3219,397.61,7208,-5,100,67.6,1400.557,6,7264.618221,1.3219,14
2009,"Nordland",1824,"Vefsn",1397985.876,0.3618,101.49,13342,-3,267,68.3,1409.307,7,1397.985876,0.3618,14
2009,"Nordland",1827,"Donna",6575844.095,636.6579,567.37,1432,-3,22,68,1438.247,9,6575.844095,636.6579,14
2009,"Nordland",1828,"Nesna",1477549.241,2.9086,219.63,1786,32,21,63.5,1455.901,12,1477.549241,2.9086,14
2009,"Nordland",1833,"Rana",3252876.185,1.4275,128.29,25281,30,434,67.6,1502.259,15,3252.876185,1.4275,14
2009,"Nordland",1834,"Luroy",13931695.636,297.7917,1072.51,1883,-17,25,69.8,1467.93,13,13931.695636,297.7917,14
